Market Code,Supplier,Supplier Depot,Price List ID, Price List Name,SKU,PID,Category,Sub Category,Tertiary Category,Description,Comments,Brand,Brand Type,Pack Description,No. Packs in a Case,No. Units in a Single Pack,Unit Size,Unit Measure,Unit Name,Tax Rate,Price,Units per Case, Converted To,Unit Price, Purchaser Units Attached
"Dry","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","Z472036",364785,"Food","Snacks: Confectionery","Chocolate - Bars","Twix Chocolate Bar : Twin",,"Twix",,"32x50g",32.0000,1,"50.000","g",,23%,"22.46","1.6000000","kg","14.0375","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Dry","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","Z479914",352886,"Food","Snacks: Crisp & Snacks","Crisps","Pringles Crisps : Original",,"Pringles",,"12x40g",12.0000,1,"40.000","g",,23%,"8.97","0.4800000","kg","18.6875","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Dry","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","Z472018",352871,"Food","Snacks: Confectionery","Sweets","Mars Starburst : Original",,"Mars",,"1x24each",1.0000,1,"24.000","each",,23%,"15.31","24.0000000","each","0.6379","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Vegetables","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","VW741",328933,"Food","Vegetable Fresh: Vegetables","Pak Choi (Bok Choy)","Pak Choi (Bok Choy)",,,,"1x1each",1.0000,1,"1.000","each",,0%,"1.25","1.0000000","each","1.25","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Vegetables","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","VW730",328884,"Food","Vegetable Fresh: Vegetables","Fennel","Fennel",,,,"1x1kg",1.0000,1,"1.000","kg",,0%,"3.75","1.0000000","kg","3.75","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Vegetables","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","VW774",328838,"Food","Vegetable Fresh: Vegetables","Broccoli","Broccoli",,,,"1x1kg",1.0000,1,"1.000","kg",,0%,"2.50","1.0000000","kg","2.5","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Vegetables","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","TM196",307542,"Food","Vegetable Fresh: Salad","Tomatoes","Tomatoes : Beefsteak",,,,"1x7kg",1.0000,1,"7.000","kg",,0%,"18.00","7.0000000","kg","2.5714","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Vegetables","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","VP707",306325,"Food","Vegetable Fresh: Vegetables, Prepared","Carrots","Carrots : Diced",,,,"1x2kg",1.0000,1,"2.000","kg",,0%,"3.50","2.0000000","kg","1.75","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Pastry/Dessert","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","F326Z",305159,"Food","Frozen: Dessert Sundries & Pie Fillings","Coulis (Frozen)","Boiron Coulis : Raspberry",,"Boiron",,"1x500g",1.0000,1,"500.000","g",,0%,"7.29","0.5000000","kg","14.58","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Vegetables","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","VP723",303461,"Food","Vegetable Fresh: Vegetables, Prepared","Onions","Onions : White : Sliced",,,,"1x2kg",1.0000,1,"2.000","kg",,0%,"6.80","2.0000000","kg","3.4","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Dry","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","SG120",302613,"Food","Ambient & Chilled: Sugar & Sweeteners","Sugar","Sugar : Granulated",,,,"1x3kg",1.0000,1,"3.000","kg",,0%,"6.71","3.0000000","kg","2.2367","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Frozen","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","VW745",301801,"Food","Vegetable Fresh: Salad","Peppers","Peppers : Dutch : Mixed",,,,"1x5kg",1.0000,1,"5.000","kg",,0%,"16.50","5.0000000","kg","3.3","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Vegetables","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","VP720",301786,"Food","Vegetable Fresh: Vegetables, Prepared","Onions","Onions : White : Diced",,,,"1x2kg",1.0000,1,"2.000","kg",,0%,"6.80","2.0000000","kg","3.4","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Dry","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","FF132",300525,"Food","Snacks: Crisp & Snacks","Corn Snacks","Chips : Tortilla : Salted",,,,"12x500g",12.0000,1,"500.000","g",,23%,"24.19","6.0000000","kg","4.0317","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Beef","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","BF842",289578,"Food","Meat & Poultry","Beef (Chilled)","Beef : Featherblade",,,,"Kg",1.0000,1,"1.000","kg",,0%,"9.28","1.0000000","kg","9.28","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Fruit","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","FW627",288962,"Food","Fruit Fresh: Fruit","Grapefruit","Grapefruit : Red (Ruby)",,,,"1x1each",1.0000,1,"1.000","each",,0%,"0.47","1.0000000","each","0.47","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Fruit","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","FW589",275823,"Food","Fruit Fresh: Fruit","Strawberries","Strawberries",,,,"1x227g",1.0000,1,"227.000","g",,0%,"2.60","0.2270000","kg","11.4537","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Dry","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","DT726",275227,"Food","Baking Ingredients","Savoury Pastry Shells","Tartelette : Gluten Free : 8.5cm : Neutral Butter",,,,"27x27g",27.0000,1,"27.000","g",,13.5%,"28.00","0.7290000","kg","38.4088","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Frozen","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","PA208Z",275171,"Food","Frozen: Pasta (Frozen)","Pasta (Frozen)","Pasta : Sheets",,,,"1x2kg",1.0000,1,"2.000","kg",,0%,"6.68","2.0000000","kg","3.34","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Dry","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","RC110",274784,"Food","Ambient & Chilled: Rice","Arborio","Riso Scotti Rice : Arborio",,"Riso Scotti",,"1x5kg",1.0000,1,"5.000","kg",,0%,"17.83","5.0000000","kg","3.566","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Vegetables","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","VW769",274672,"Food","Vegetable Fresh: Vegetables","Mushrooms","Mushrooms : Wild : Mixed",,,,"1x1kg",1.0000,1,"1.000","kg",,0%,"12.00","1.0000000","kg","12","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Vegetables","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","VW702",273968,"Food","Vegetable Fresh: Vegetables","Carrots","Carrots : Medium",,,,"1x10kg",1.0000,1,"10.000","kg",,0%,"7.50","10.0000000","kg","0.75","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Vegetables","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","VW326",273963,"Food","Vegetable Fresh: Vegetables","Cabbage","Cabbage : Savoy",,,,"1x1each",1.0000,1,"1.000","each",,0%,"1.50","1.0000000","each","1.5","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Vegetables","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","VW701",273960,"Food","Vegetable Fresh: Vegetables","Broccoli","Broccoli : Tenderstem",,,,"1x500g",1.0000,1,"500.000","g",,0%,"4.75","0.5000000","kg","9.5","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Vegetables","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","TM190",273921,"Food","Vegetable Fresh: Salad","Tomatoes","Tomatoes : Cherry Vine",,,,"1x3kg",1.0000,1,"3.000","kg",,0%,"11.75","3.0000000","kg","3.9167","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Vegetables","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","VW720",273632,"Food","Vegetable Fresh: Vegetables","Cabbage","Cabbage : Red",,,,"1x1each",1.0000,1,"1.000","each",,0%,"1.70","1.0000000","each","1.7","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Vegetables","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","VW699",272205,"Food","Vegetable Fresh: Vegetables","Asparagus","Asparagus",,,,"1x450g",1.0000,1,"450.000","g",,0%,"4.35","0.4500000","kg","9.6667","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Dry","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","Z116",270998,"Food","Baking Ingredients","Dried Fruit","Raisins : Golden",,,,"1x1kg",1.0000,1,"1.000","kg",,0%,"6.89","1.0000000","kg","6.89","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Dry","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","OV107",253899,"Food","Ambient & Chilled: Pickles & Relish","Olives","Olives : Mixed : Italian",,,,"1x1.9kg",1.0000,1,"1.900","kg",,0%,"20.32","1.9000000","kg","10.6947","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Vegetables","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","VW703",252869,"Food","Vegetable Fresh: Vegetables","Cauliflower","Cauliflower",,,,"1x1each",1.0000,1,"1.000","each",,0%,"1.44","1.0000000","each","1.44","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Frozen","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","CE417z",249713,"Food","Frozen: Bakery","Patisserie Frozen","Scones : Fruit : Raw",,,,"60x150g",1.0000,60,"150.000","g",,13.5%,"40.08","9.0000000","kg","4.4533","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Vegetables","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","SL333",232926,"Food","Vegetable Fresh: Salad","Lettuce","Lettuce : Cos",,,,"1x1each",1.0000,1,"1.000","each",,0%,"1.30","1.0000000","each","1.3","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Dry","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","Z475602",226542,"Food","Snacks: Crisp & Snacks","Crisps","Tayto Crisps : Hunky Dorys : Cheddar Cheese &amp; Spring Onion",,"Tayto",,"50x42g",50.0000,1,"42.000","g",,23%,"36.07","2.1000000","kg","17.1762","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Vegetables","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","VW794",225922,"Food","Vegetable Fresh: Vegetables","Broccoli","Broccoli",,,,"1x6kg",1.0000,1,"6.000","kg",,0%,"11.00","6.0000000","kg","1.8333","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Dry","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","MS634",224488,"Food","Ambient & Chilled: Table Sauce & Condiments","Mustard","Kennys Mustard : English : Sachets : 5g",,"Kennys",,"200x1each",200.0000,1,"1.000","each",,0%,"12.02","200.0000000","each","0.0601","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Dry","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","AL402",224234,"Food","Ambient & Chilled: Cooking Ingredients","Cooking Wine & Other","Wine : Cooking : White : Seasoned",,,,"4x5ltr",4.0000,1,"5.000","ltr",,0%,"43.34","20.0000000","ltr","2.167","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Vegetables","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","490065",224215,"Food","Vegetable Fresh: Vegetables, Prepared","Carrots","Carrots : Baton",,,,"1x5kg",1.0000,1,"5.000","kg",,0%,"10.00","5.0000000","kg","2","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Dry","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","FU124",223550,"Food","Baking Ingredients","Flour","Flour : Plain : Gluten Free",,,,"5x1kg",5.0000,1,"1.000","kg",,0%,"13.39","5.0000000","kg","2.678","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Frozen","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","VG793Z",223453,"Food","Frozen: Vegetables","Beans (Frozen)","Beans : Green : Whole",,,,"4x2.5kg",4.0000,1,"2.500","kg",,0%,"19.13","10.0000000","kg","1.913","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Fruit","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","FW605",221794,"Food","Fruit Fresh: Fruit","Orange","Oranges",,,,"1x6each",1.0000,1,"6.000","each",,0%,"2.00","6.0000000","each","0.3333","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Fruit","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","FW631",221792,"Food","Fruit Fresh: Fruit","Apple","Apples : Granny Smith",,,,"1x6each",1.0000,1,"6.000","each",,0%,"2.35","6.0000000","each","0.3917","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Frozen","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","F41Z",221305,"Food","Frozen: Fruit","Cranberries","Cranberries",,,,"1x1kg",1.0000,1,"1.000","kg",,0%,"7.38","1.0000000","kg","7.38","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Vegetables","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","FW671",221128,"Food","Fruit Fresh: Fruit","Avocado","Avocado : Ready to Eat",,,,"1x18each",1.0000,1,"18.000","each",,0%,"18.45","18.0000000","each","1.025","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Vegetables","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","VW287",220564,"Food","Vegetable Fresh: Vegetables","Asparagus","Asparagus : Tips",,,,"12x80g",12.0000,1,"80.000","g",,0%,"27.99","0.9600000","kg","29.1563","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Vegetables","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","VP734",220556,"Food","Vegetable Fresh: Vegetables, Prepared","Potatoes","Chips : Par Fried",,,,"2x5kg",2.0000,1,"5.000","kg",,0%,"18.08","10.0000000","kg","1.808","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Vegetables","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","VW706",220546,"Food","Vegetable Fresh: Vegetables","Peas","Peas : Mangetout",,,,"1x1.5kg",1.0000,1,"1.500","kg",,0%,"11.50","1.5000000","kg","7.6667","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Vegetables","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","vw717",219491,"Food","Vegetable Fresh: Vegetables","Beetroot","Beetroot",,,,"1x5kg",1.0000,1,"5.000","kg",,0%,"6.60","5.0000000","kg","1.32","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Vegetables","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","VW790",218386,"Food","Vegetable Fresh: Salad","Peppers","Peppers : Dutch : Red",,,,"1x5kg",1.0000,1,"5.000","kg",,0%,"14.50","5.0000000","kg","2.9","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Vegetables","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","SL335",217841,"Food","Vegetable Fresh: Salad","Lettuce","Lettuce : Baby Gem",,,,"2x1each",2.0000,1,"1.000","each",,0%,"1.05","2.0000000","each","0.525","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Fruit","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","FW601",217244,"Food","Fruit Fresh: Fruit","Redcurrants","Redcurrants",,,,"1x125g",1.0000,1,"125.000","g",,0%,"3.85","0.1250000","kg","30.8","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Fruit","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","FW577",217230,"Food","Fruit Fresh: Fruit","Grapes","Grapes : Green : Seedless",,,,"1x500g",1.0000,1,"500.000","g",,0%,"2.65","0.5000000","kg","5.3","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Fruit","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","FW607",217222,"Food","Fruit Fresh: Fruit","Banana","Bananas",,,,"1x1kg",1.0000,1,"1.000","kg",,0%,"1.70","1.0000000","kg","1.7","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Frozen","Sysco Ireland",,"58010","Greyhound Racing Ireland Group Price List","CE934Z",216096,"Food","Frozen: Bakery","Tray Bakes (Frozen)","Codhull Chocolate Brownie Tray Bake : 21 Portions",,"Codhull",,"1x2.05kg",1.0000,1,"2.050","kg",,13.5%,"20.33","2.0500000","kg","9.9171","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
