Market Code,PID,Product Category 1,Product Category 2,Product Category 3,Product Description,Brand,Pack Size,Measure,[SM] Musgrave SKU,[SM] Musgrave Best Price List,[SM] Musgrave In Stock,[SM] Musgrave Best Price,[SM] Musgrave Units per Case,[SM] Musgrave Converted To,[SM] Musgrave Unit Price,Heineken Ireland Sales Ltd SKU,Heineken Ireland Sales Ltd Best Price List,Heineken Ireland Sales Ltd In Stock,Heineken Ireland Sales Ltd Best Price,Heineken Ireland Sales Ltd Units per Case,Heineken Ireland Sales Ltd Converted To,Heineken Ireland Sales Ltd Unit Price,Lynas Foodservice Ltd SKU,Lynas Foodservice Ltd Best Price List,Lynas Foodservice Ltd In Stock,Lynas Foodservice Ltd Best Price,Lynas Foodservice Ltd Units per Case,Lynas Foodservice Ltd Converted To,Lynas Foodservice Ltd Unit Price,Robert Roberts/ Findlater & Co SKU,Robert Roberts/ Findlater & Co Best Price List,Robert Roberts/ Findlater & Co In Stock,Robert Roberts/ Findlater & Co Best Price,Robert Roberts/ Findlater & Co Units per Case,Robert Roberts/ Findlater & Co Converted To,Robert Roberts/ Findlater & Co Unit Price,Sysco Ireland SKU,Sysco Ireland Best Price List,Sysco Ireland In Stock,Sysco Ireland Best Price,Sysco Ireland Units per Case,Sysco Ireland Converted To,Sysco Ireland Unit Price,Zeus Russell Will (Zeus Packaging Ltd) SKU,Zeus Russell Will (Zeus Packaging Ltd) Best Price List,Zeus Russell Will (Zeus Packaging Ltd) In Stock,Zeus Russell Will (Zeus Packaging Ltd) Best Price,Zeus Russell Will (Zeus Packaging Ltd) Units per Case,Zeus Russell Will (Zeus Packaging Ltd) Converted To,Zeus Russell Will (Zeus Packaging Ltd) Unit Price
,1510873,[PW] PAC,Non Food,Janitorial,Optima Hygiene 'RHP' Socket Mop - RED200g,,1 each,each,HXY520R,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,each,0,HXY520R,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,each,0,HXY520R,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,each,0,HXY520R,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,each,0,HXY520R,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,each,0,HXY520R,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,each,0
,1428647,[PW] PAC,Non Food,Cleaning Chemicals,Absorbit - Heavy Duty Powder Detergent And Degreaser,,6x2.2kg,kg,9024210,Greyhound Racing Ireland Group Price List,Yes,0,13.2000000,kg,0,9024210,Greyhound Racing Ireland Group Price List,Yes,0,13.2000000,kg,0,9024210,Greyhound Racing Ireland Group Price List,Yes,0,13.2000000,kg,0,9024210,Greyhound Racing Ireland Group Price List,Yes,0,13.2000000,kg,0,9024210,Greyhound Racing Ireland Group Price List,Yes,0,13.2000000,kg,0,9024210,Greyhound Racing Ireland Group Price List,Yes,0,13.2000000,kg,0
,1067203,[PW] PAC,Non Food,Cleaning Chemicals,Ecobrite Booster Plus,,25 kg,kg,496043,ECOLAB Irish Greyhound Board,Yes,0,25.0000000,kg,0,496043,ECOLAB Irish Greyhound Board,Yes,0,25.0000000,kg,0,496043,ECOLAB Irish Greyhound Board,Yes,0,25.0000000,kg,0,496043,ECOLAB Irish Greyhound Board,Yes,0,25.0000000,kg,0,496043,ECOLAB Irish Greyhound Board,Yes,0,25.0000000,kg,0,496043,ECOLAB Irish Greyhound Board,Yes,0,25.0000000,kg,0
,1170566,[PW] PAC,Non Food,Cleaning Chemicals,Ecolab Ecobrite Oxy 1x10 LT,,10 ltr,ltr,,ECOLAB Irish Greyhound Board,Yes,0,10.0000000,ltr,0,,ECOLAB Irish Greyhound Board,Yes,0,10.0000000,ltr,0,,ECOLAB Irish Greyhound Board,Yes,0,10.0000000,ltr,0,,ECOLAB Irish Greyhound Board,Yes,0,10.0000000,ltr,0,,ECOLAB Irish Greyhound Board,Yes,0,10.0000000,ltr,0,,ECOLAB Irish Greyhound Board,Yes,0,10.0000000,ltr,0
,1444617,[PW] PAC,Non Food,Cleaning Chemicals,Ecolab Freedrain 4x5 LT,,4x500 LTR,ltr,E10042,ECOLAB Irish Greyhound Board,Yes,0,2000.0000000,ltr,0,E10042,ECOLAB Irish Greyhound Board,Yes,0,2000.0000000,ltr,0,E10042,ECOLAB Irish Greyhound Board,Yes,0,2000.0000000,ltr,0,E10042,ECOLAB Irish Greyhound Board,Yes,0,2000.0000000,ltr,0,E10042,ECOLAB Irish Greyhound Board,Yes,0,2000.0000000,ltr,0,E10042,ECOLAB Irish Greyhound Board,Yes,0,2000.0000000,ltr,0
,1444620,[PW] PAC,Non Food,Cleaning Chemicals,Ecolab Oasis Pro Acid Bath Cleaner 2x2.48 KG,,2x2.48 KG,kg,,ECOLAB Irish Greyhound Board,Yes,0,4.9600000,kg,0,,ECOLAB Irish Greyhound Board,Yes,0,4.9600000,kg,0,,ECOLAB Irish Greyhound Board,Yes,0,4.9600000,kg,0,,ECOLAB Irish Greyhound Board,Yes,0,4.9600000,kg,0,,ECOLAB Irish Greyhound Board,Yes,0,4.9600000,kg,0,,ECOLAB Irish Greyhound Board,Yes,0,4.9600000,kg,0
,632161,[PW] PAC,Non Food,Cleaning Chemicals,Kitchen Pro Manual  2 x 2ltr.Pouch Chemical,,2 x 2 ltr,ltr,e10174,ECOLAB Irish Greyhound Board,Yes,0,4.0000000,ltr,0,e10174,ECOLAB Irish Greyhound Board,Yes,0,4.0000000,ltr,0,e10174,ECOLAB Irish Greyhound Board,Yes,0,4.0000000,ltr,0,e10174,ECOLAB Irish Greyhound Board,Yes,0,4.0000000,ltr,0,e10174,ECOLAB Irish Greyhound Board,Yes,0,4.0000000,ltr,0,e10174,ECOLAB Irish Greyhound Board,Yes,0,4.0000000,ltr,0
,1428651,[PW] PAC,Non Food,Cleaning Chemicals,Solid Hero Machine Warewashing Detergent,,4x4.5kg,kg,9081430,Greyhound Racing Ireland Group Price List,Yes,0,18.0000000,kg,0,9081430,Greyhound Racing Ireland Group Price List,Yes,0,18.0000000,kg,0,9081430,Greyhound Racing Ireland Group Price List,Yes,0,18.0000000,kg,0,9081430,Greyhound Racing Ireland Group Price List,Yes,0,18.0000000,kg,0,9081430,Greyhound Racing Ireland Group Price List,Yes,0,18.0000000,kg,0,9081430,Greyhound Racing Ireland Group Price List,Yes,0,18.0000000,kg,0
,1533355,[PW] PAC,Non Food,Kitchenware,Foil Catering 450Mm 06 Rolls/Box,,6x1each,each,D411,Greyhound Racing Ireland Group Price List,Yes,0,6.0000000,each,0,D411,Greyhound Racing Ireland Group Price List,Yes,0,6.0000000,each,0,D411,Greyhound Racing Ireland Group Price List,Yes,0,6.0000000,each,0,D411,Greyhound Racing Ireland Group Price List,Yes,0,6.0000000,each,0,D411,Greyhound Racing Ireland Group Price List,Yes,0,6.0000000,each,0,D411,Greyhound Racing Ireland Group Price List,Yes,0,6.0000000,each,0
,1675020,Food,Frozen: Bakery Sweet,Festive Products,Christmas Pudding : Log,,3x1.7kg,kg,492446,Greyhound Racing Ireland Group Price List,Yes,0,5.1000000,kg,0,492446,Greyhound Racing Ireland Group Price List,Yes,0,5.1000000,kg,0,492446,Greyhound Racing Ireland Group Price List,Yes,0,5.1000000,kg,0,492446,Greyhound Racing Ireland Group Price List,Yes,0,5.1000000,kg,0,492446,Greyhound Racing Ireland Group Price List,Yes,0,5.1000000,kg,0,492446,Greyhound Racing Ireland Group Price List,Yes,0,5.1000000,kg,0
