EPOS ID, EPOS CODE, YIELD, GROUPING, MENU, COURSE, DISH, SELLING PRICE, TARGET GP, TAX, DISH ID
109412,1,1,Beverages,Galway,Minerals & Splits,Dash Cordial Lime 150ml,1.00,81.27,23.0000,52411,
109411,1,1,Beverages,Galway,Minerals & Splits,Dash Cordial Orange 150ml,1.00,81.27,23.0000,52408,
109409,1,1,Beverages,Galway,Minerals & Splits,Dash Red Lemonade 100ml,1.00,88.31,23.0000,52405,
109410,1,1,Beverages,Galway,Minerals & Splits,Dash White Lemonade 100ml,1.00,88.6,23.0000,52406,
109414,1,1,Beverages,Galway,Minerals & Splits,Jug of Cordial Blackcurrant 300ml,3.00,87.52,23.0000,52414,
109416,1,1,Beverages,Galway,Minerals & Splits,Jug of Cordial Lime 300ml,3.00,87.52,23.0000,52418,
109415,1,1,Beverages,Galway,Minerals & Splits,Jug of Cordial Orange 300ml,3.00,87.52,23.0000,52416,
109418,1,1,Beverages,Galway,Minerals & Splits,PT Cordial Blackcurrant 150ml,1.50,87.51,23.0000,52421,
109419,1,1,Beverages,Galway,Minerals & Splits,PT Cordial Lime 150ml,1.50,87.51,23.0000,52422,
109417,1,1,Beverages,Galway,Minerals & Splits,PT Cordial Orange 150ml,1.50,87.51,23.0000,52419,
109423,1,1,Beverages,Galway,Minerals & Splits,Splash Fanta Lemon 150ml ,1.00,68.22,23.0000,52428,
109422,1,1,Beverages,Galway,Minerals & Splits,Splash Fanta Orange 150ml ,1.00,70.41,23.0000,52426,
109408,1,1,Beverages,Galway,Minerals & Splits,Splash Lemon & Lime 150ml,1.00,72.37,23.0000,52402,
109305,1,1,Beverages,Galway,N/A Wine Bottle,Torres Natureo Moscatel Spain 75cl,18.00,64.1,23.0000,52512,
109280,1,1,Beverages,Galway,Red Wine Bottle,Aires Andinos Malbec Argentina 75cl,33.00,73.13,23.0000,52506,
109275,1,1,Beverages,Galway,Red Wine Bottle,Copperfield Pinotage South Africa 75cl,31.00,74.3,23.0000,52478,
109279,1,1,Beverages,Galway,Red Wine Bottle,Monologo Rioja Crianza Spain 75cl,33.00,66.38,23.0000,52505,
109277,1,1,Beverages,Galway,Red Wine Bottle,Montanas Y Mar Cabernet Sauvignon Chile 75cl,29.90,72,23.0000,52494,
109276,1,1,Beverages,Galway,Red Wine Bottle,Montgravet Merlot France 75cl,29.90,69.1,23.0000,52480,
109278,1,1,Beverages,Galway,Red Wine Bottle,Solandia Nero D'avola Italy 75cl,29.00,70.04,23.0000,52502,
109282,2,4.2,Beverages,Galway,Red Wine Glass,Montanas Y Mar Cabernet Sauvignon Chile 75cl,8.00,75.1,23.0000,52494,
109281,2,4.2,Beverages,Galway,Red Wine Glass,Montgravet Merlot France 75cl,8.00,72.5,23.0000,52480,
109283,2,4.2,Beverages,Galway,Red Wine Glass,Solandia Nero D'avola Italy 75cl,7.50,72.4,23.0000,52502,
109372,1,1,Beverages,Galway,Rum,Bacardi,5.50,79.56,23.0000,52716,
109373,1,1,Beverages,Galway,Rum,Captain Morgan Spiced,5.40,80.6,23.0000,52717,
109374,2,1,Beverages,Galway,Rum,Malibu,5.20,81.9,23.0000,52708,
110172,1,1,Beverages,Galway,Shots,Baby Guinness,6.00,76.2,23.0000,52726,
110171,1,1,Beverages,Galway,Shots,Tequila,6.00,77.42,23.0000,52713,
109339,1,1,Beverages,Galway,Vodka,Huzzar Vodka,5.10,75,23.0000,52108,
109353,1,1,Beverages,Galway,Whiskey - American,Jack Daniels,5.50,70.5,23.0000,52714,
109450,1,1,Beverages,Galway,Whiskey - American,Southern Comfort,5.50,75.5,23.0000,52715,
109344,1,1,Beverages,Galway,Whiskey - Irish,Jameson,5.10,71.9,23.0000,52699,
109352,1,1,Beverages,Galway,Whisky - Scotch,Black & White,5.20,76.9,23.0000,52704,
109292,1,1,Beverages,Galway,White Wine Bottle,Borsari Pinot Grigio Garganega Italy 75cl,29.90,73.66,23.0000,52476,
109293,1,1,Beverages,Galway,White Wine Bottle,Lopez de Haro Rosado Spain 75cl,32.00,66.88,23.0000,52483,
109294,1,1,Beverages,Galway,White Wine Bottle,Marlborough Sun Sauvignon Blanc 75cl,43.00,67.86,23.0000,52491,
109295,1,1,Beverages,Galway,White Wine Bottle,Montanas Y Mar Sauvignon Blanc Chile 75cl,29.90,71.94,23.0000,52498,
109291,1,1,Beverages,Galway,White Wine Bottle,Tocornal Chardonnay Chile 75cl,29.00,72.34,23.0000,52475,
109299,2,4.2,Beverages,Galway,White Wine Glass,Borsari Pinot Grigio Garganega Italy 75cl,8.00,76.56,23.0000,52476,
109300,2,4.2,Beverages,Galway,White Wine Glass,Montanas Y Mar Sauvignon Blanc Chile 75cl,8.00,75.03,23.0000,52498,
109298,2,4.2,Beverages,Galway,White Wine Glass,Tocornal Chardonnay Chile 75cl,7.50,74.53,23.0000,52475,
108169,1,1,Beverages,Head Office Beverages,Bottled Beer,Can WCC Original 250ml,6.50,69.29,23.0000,52362,
108170,1,1,Beverages,Head Office Beverages,Bottled Beer,Can WCC Rose 250ml,6.50,69.29,23.0000,52364,
108163,1,1,Beverages,Head Office Beverages,Bottled Beer,L/N Birra Moretti 330ml,6.60,71.3,23.0000,52352,
108159,1,1,Beverages,Head Office Beverages,Bottled Beer,L/N Coors Light 330ml,6.60,78.61,23.0000,52348,
108164,1,1,Beverages,Head Office Beverages,Bottled Beer,L/N Desperados 330ml,6.70,69.42,23.0000,52353,
108162,1,1,Beverages,Head Office Beverages,Bottled Beer,L/N Heineken 0.0 330ml,5.50,77.47,23.0000,52351,
108158,1,1,Beverages,Head Office Beverages,Bottled Beer,L/N Heineken 355ml,6.60,74.79,23.0000,52346,
108166,1,1,Beverages,Head Office Beverages,Bottled Beer,L/N Peroni GF 330ml,6.60,72.05,23.0000,52357,
108167,1,1,Beverages,Head Office Beverages,Bottled Beer,L/N Smirnoff Ice 275ml,6.40,75.19,23.0000,52360,
108160,1,1,Beverages,Head Office Beverages,Bottled Beer,L/N Sol 330ml,6.60,76.53,23.0000,52349,
108168,1,1,Beverages,Head Office Beverages,Bottled Beer,L/N WKD Blue 275ml,6.40,77.3,23.0000,52361,
108165,1,1,Beverages,Head Office Beverages,Bottled Beer,PT BTL Orchard Thieves 568ml,7.30,60.8,23.0000,52356,
108161,1,1,Beverages,Head Office Beverages,Bottled Beer,PT BTL Smithwicks 568ml,6.00,60.37,23.0000,52350,
108276,1,1,Beverages,Head Office Beverages,Brandy,Hennessy,5.80,65.8,23.0000,52697,
108277,1,1,Beverages,Head Office Beverages,Brandy,Remy Martin VSOP,7.50,65.4,23.0000,52731,
108191,1,1,Beverages,Head Office Beverages,Champagne/Sparkling Bottle,Dogarina Prosecco Italy 75cl,32.00,67,23.0000,52488,
108190,1,1,Beverages,Head Office Beverages,Champagne/Sparkling Bottle,Lanson Black Label Brut France 75cl,90.00,45.83,23.0000,52486,
108193,1,1,Beverages,Head Office Beverages,Champagne/Sparkling Bottle,Lanson Rose Label France 75cl,110.00,43.16,23.0000,52511,
108192,1,1,Beverages,Head Office Beverages,Champagne/Sparkling Bottle,Segura Viudas Brut Reserva Cava Spain 75cl,40.00,59.18,23.0000,52510,
108195,1,1,Beverages,Head Office Beverages,Cocktails,Cosmopolitan,11.00,70,23.0000,52696,
108153,1,1,Beverages,Head Office Beverages,Draught Beer,GL Coors Light,3.60,63,23.0000,52340,
108157,1,1,Beverages,Head Office Beverages,Draught Beer,GL Fosters,2.90,59.62,23.0000,52345,
108150,1,1,Beverages,Head Office Beverages,Draught Beer,GL Guinness,3.40,63.5,23.0000,52335,
108152,1,1,Beverages,Head Office Beverages,Draught Beer,GL Heineken,3.60,63.02,23.0000,52338,
108154,1,1,Beverages,Head Office Beverages,Draught Beer,GL Moretti,4.00,61.2,23.0000,52342,
108156,1,1,Beverages,Head Office Beverages,Draught Beer,GL Murphys Red Ale,3.50,62.78,23.0000,52344,
108155,1,1,Beverages,Head Office Beverages,Draught Beer,GL Orchard Thieves,3.50,61.48,23.0000,52343,
108147,1,1,Beverages,Head Office Beverages,Draught Beer,PT Coors Light,7.00,62.49,23.0000,52330,
108151,1,1,Beverages,Head Office Beverages,Draught Beer,PT Fosters,5.50,57.42,23.0000,52336,
108144,1,1,Beverages,Head Office Beverages,Draught Beer,PT Guinness,6.60,60,23.0000,52105,
108145,1,1,Beverages,Head Office Beverages,Draught Beer,PT Heineken,7.00,62.49,23.0000,52326,
108148,1,1,Beverages,Head Office Beverages,Draught Beer,PT Moretti,7.90,61.2,23.0000,52333,
108146,1,1,Beverages,Head Office Beverages,Draught Beer,PT Murphys Red Ale,6.90,62.78,23.0000,52329,
108149,1,1,Beverages,Head Office Beverages,Draught Beer,PT Orchards Thieves,7.10,61.48,23.0000,52334,
108250,1,1,Beverages,Head Office Beverages,Gin,Brockman's Premium Gin,8.50,77.3,23.0000,52733,
108245,1,1,Beverages,Head Office Beverages,Gin,Cork Dry Gin,5.40,80.6,23.0000,52701,
108248,1,1,Beverages,Head Office Beverages,Gin,Glendalough Rose Gin,5.70,67.4,23.0000,52723,
108249,1,1,Beverages,Head Office Beverages,Gin,Glendalough Wild Botanical Gin,5.70,65.5,23.0000,52732,
108246,1,1,Beverages,Head Office Beverages,Gin,Gordons Original Gin,5.20,78,23.0000,52702,
109360,1,1,Beverages,Head Office Beverages,Gin,Gordons Rose Gin,4.90,74.2,23.0000,53289,
108247,1,1,Beverages,Head Office Beverages,Gin,Hendricks Gin,8.00,73.78,23.0000,52722,
108297,1,1,Beverages,Head Office Beverages,Hot Beverages,Americano Coffee,3.20,88.16,23.0000,52517,
108302,1,1,Beverages,Head Office Beverages,Hot Beverages,Americano Coffee - Takeaway,2.80,78.45,23.0000,52524,
108299,1,1,Beverages,Head Office Beverages,Hot Beverages,Cappuccino Coffee,3.70,82.17,23.0000,52520,
108303,1,1,Beverages,Head Office Beverages,Hot Beverages,Cappuccino Coffee - Takeaway,2.90,69.52,23.0000,52525,
108300,1,1,Beverages,Head Office Beverages,Hot Beverages,Espresso Coffee,2.60,80.94,23.0000,52521,
108304,1,1,Beverages,Head Office Beverages,Hot Beverages,Espresso Coffee - Takeaway,2.60,72.31,23.0000,52526,
108307,1,1,Beverages,Head Office Beverages,Hot Beverages,Hot Chocolate,2.80,74.8,23.0000,52529,
108308,1,1,Beverages,Head Office Beverages,Hot Beverages,Hot Chocolate - Takeaway,2.80,66.8,23.0000,52530,
108298,1,1,Beverages,Head Office Beverages,Hot Beverages,Latte Coffee,3.70,83.56,23.0000,52518,
108305,1,1,Beverages,Head Office Beverages,Hot Beverages,Latte Coffee - Takeaway,2.90,71.29,23.0000,52527,
108306,1,1,Beverages,Head Office Beverages,Hot Beverages,Tea - Takeaway,2.30,79.59,23.0000,52528,
108296,1,1,Beverages,Head Office Beverages,Hot Beverages,Tea Cup,2.30,89.3,23.0000,52515,
108301,1,1,Beverages,Head Office Beverages,Hot Beverages,Tea Pot,2.30,77.99,23.0000,52523,
108270,1,1,Beverages,Head Office Beverages,Liqueurs,Archers Peach Schnapps,6.00,84.85,23.0000,52709,
108274,1,1,Beverages,Head Office Beverages,Liqueurs,Baileys Irish Cream,6.00,80,23.0000,52720,
109458,1,1,Beverages,Head Office Beverages,Liqueurs,Espresso Martini,10.00,69.1,23.0000,53303,
108268,1,1,Beverages,Head Office Beverages,Liqueurs,Jagermeister,6.00,79.5,23.0000,52707,
108271,1,1,Beverages,Head Office Beverages,Liqueurs,Pernod,5.40,72.8,23.0000,52710,
108273,1,1,Beverages,Head Office Beverages,Liqueurs,Pimms,5.00,76.9,23.0000,52718,
108272,1,1,Beverages,Head Office Beverages,Liqueurs,Sambuca,6.00,75,23.0000,52712,
109449,1,1,Beverages,Head Office Beverages,Liqueurs,Sandeman Ruby Port,5.50,85,23.0000,53295,
108275,1,1,Beverages,Head Office Beverages,Liqueurs,Tia Maria,6.00,82.5,23.0000,52730,
108311,1,1,Beverages,Head Office Beverages,Liqueurs Coffee,Baileys Coffee,6.90,80,23.0000,52727,
109432,1,1,Beverages,Head Office Beverages,Liqueurs Coffee,Calypso Coffee,6.00,56.4,23.0000,53290,
108312,1,1,Beverages,Head Office Beverages,Liqueurs Coffee,French Coffee,6.90,64.4,23.0000,52728,
108309,1,1,Beverages,Head Office Beverages,Liqueurs Coffee,Hot Irish Whiskey,6.00,69.9,23.0000,52724,
108313,1,1,Beverages,Head Office Beverages,Liqueurs Coffee,Hot Port,6.00,81.3,23.0000,52750,
108310,1,1,Beverages,Head Office Beverages,Liqueurs Coffee,Irish Coffee,6.90,70.5,23.0000,52725,
108218,1,1,Beverages,Head Office Beverages,Minerals & Splits,BT Apple Juice 200ml,3.00,88.08,23.0000,52393,
108202,1,1,Beverages,Head Office Beverages,Minerals & Splits,BT Cidona 440ml,3.50,69.5,23.0000,52373,
108197,1,1,Beverages,Head Office Beverages,Minerals & Splits,BT Coca Cola 200ml,3.00,75.4,23.0000,52366,
108219,1,1,Beverages,Head Office Beverages,Minerals & Splits,BT Coca Cola 500ml,3.00,58.57,23.0000,52394,
108201,1,1,Beverages,Head Office Beverages,Minerals & Splits,BT Coke Zero 200ml,3.00,77.1,23.0000,52371,
108217,1,1,Beverages,Head Office Beverages,Minerals & Splits,BT Coke Zero 500ml,2.70,57.88,23.0000,52391,
108205,1,1,Beverages,Head Office Beverages,Minerals & Splits,BT Cranberry Juice 200ml,3.00,74.38,23.0000,52376,
108198,1,1,Beverages,Head Office Beverages,Minerals & Splits,BT Diet Coke 200ml,3.00,77.1,23.0000,52367,
108240,1,1,Beverages,Head Office Beverages,Minerals & Splits,BT Diet Coke 500ml,3.00,62.09,23.0000,52436,
108241,1,1,Beverages,Head Office Beverages,Minerals & Splits,BT Elderflower Tonic Water 200ml,3.50,80.29,23.0000,52437,
108200,1,1,Beverages,Head Office Beverages,Minerals & Splits,BT Fanta Lemon 200ml,3.00,80,23.0000,52370,
108234,1,1,Beverages,Head Office Beverages,Minerals & Splits,BT Fanta Lemon 500ml,3.00,64.69,23.0000,52425,
108199,1,1,Beverages,Head Office Beverages,Minerals & Splits,BT Fanta Orange 200ml,3.00,80,23.0000,52369,
108233,1,1,Beverages,Head Office Beverages,Minerals & Splits,BT Fanta Orange 500ml,3.00,67.11,23.0000,52424,
108213,1,1,Beverages,Head Office Beverages,Minerals & Splits,BT Ginger Ale 125ml,2.50,78.49,23.0000,52385,
108203,1,1,Beverages,Head Office Beverages,Minerals & Splits,BT Lucozade,3.50,73.67,23.0000,52374,
108204,1,1,Beverages,Head Office Beverages,Minerals & Splits,BT Orange Juice 200ml,3.00,74.38,23.0000,52375,
108211,1,1,Beverages,Head Office Beverages,Minerals & Splits,BT Slimline Tonic 125ml,2.50,78.49,23.0000,52383,
108214,1,1,Beverages,Head Office Beverages,Minerals & Splits,BT Soda Water 125ml,2.50,78.49,23.0000,52387,
108207,1,1,Beverages,Head Office Beverages,Minerals & Splits,BT Sparkling Water 330ml,3.50,83.89,23.0000,52378,
108216,1,1,Beverages,Head Office Beverages,Minerals & Splits,BT Sparkling Water 500ml,3.00,89,23.0000,52389,
108209,1,1,Beverages,Head Office Beverages,Minerals & Splits,BT Sparkling Water 750ml,6.00,76.9,23.0000,52381,
108196,1,1,Beverages,Head Office Beverages,Minerals & Splits,BT Sprite Zero 200ml,3.00,79.96,23.0000,52365,
108220,1,1,Beverages,Head Office Beverages,Minerals & Splits,BT Sprite Zero 500ml,3.00,30.33,23.0000,52396,
108206,1,1,Beverages,Head Office Beverages,Minerals & Splits,BT Still Water 330ml,3.50,83.89,23.0000,52377,
108215,1,1,Beverages,Head Office Beverages,Minerals & Splits,BT Still Water 500ml,3.00,89,23.0000,52388,
108208,1,1,Beverages,Head Office Beverages,Minerals & Splits,BT Still Water 750ml,6.00,76.9,23.0000,52379,
108210,1,1,Beverages,Head Office Beverages,Minerals & Splits,BT Tonic Water 125ml,2.50,78.49,23.0000,52382,
108212,1,1,Beverages,Head Office Beverages,Minerals & Splits,BT White Lemonade 125ml,2.50,77.67,23.0000,52384,
108242,1,1,Beverages,Head Office Beverages,Minerals & Splits,Can Boost Energy 250ml,3.50,73,23.0000,52438,
108239,1,1,Beverages,Head Office Beverages,Minerals & Splits,Can Monster Energy 250ml,4.70,77.1,23.0000,52434,
108226,1,1,Beverages,Head Office Beverages,Minerals & Splits,Dash Cordial Blackcurrant 150ml,1.00,81.27,23.0000,52412,
108225,1,1,Beverages,Head Office Beverages,Minerals & Splits,Dash Cordial Lime 150ml,1.00,81.27,23.0000,52411,
108224,1,1,Beverages,Head Office Beverages,Minerals & Splits,Dash Cordial Orange 150ml,1.00,81.27,23.0000,52408,
108222,1,1,Beverages,Head Office Beverages,Minerals & Splits,Dash Red Lemonade 100ml,1.00,88.31,23.0000,52405,
108223,1,1,Beverages,Head Office Beverages,Minerals & Splits,Dash White Lemonade 100ml,1.00,88.6,23.0000,52406,
108227,1,1,Beverages,Head Office Beverages,Minerals & Splits,Jug of Cordial Blackcurrant 300ml,3.00,87.52,23.0000,52414,
108229,1,1,Beverages,Head Office Beverages,Minerals & Splits,Jug of Cordial Lime 300ml,3.00,87.52,23.0000,52418,
108228,1,1,Beverages,Head Office Beverages,Minerals & Splits,Jug of Cordial Orange 300ml,3.00,87.52,23.0000,52416,
108231,1,1,Beverages,Head Office Beverages,Minerals & Splits,PT Cordial Blackcurrant 150ml,1.50,87.51,23.0000,52421,
108232,1,1,Beverages,Head Office Beverages,Minerals & Splits,PT Cordial Lime 150ml,1.50,87.51,23.0000,52422,
108230,1,1,Beverages,Head Office Beverages,Minerals & Splits,PT Cordial Orange 150ml,1.50,87.51,23.0000,52419,
108236,1,1,Beverages,Head Office Beverages,Minerals & Splits,Splash Fanta Lemon 150ml ,1.00,68.22,23.0000,52428,
108235,1,1,Beverages,Head Office Beverages,Minerals & Splits,Splash Fanta Orange 150ml ,1.00,70.41,23.0000,52426,
108221,1,1,Beverages,Head Office Beverages,Minerals & Splits,Splash Lemon & Lime 150ml,1.00,72.37,23.0000,52402,
108238,1,1,Beverages,Head Office Beverages,Minerals & Splits,Sqeez Apple Juice 200ml,2.00,81.37,23.0000,52433,
108237,1,1,Beverages,Head Office Beverages,Minerals & Splits,Sqeez Orange Juice 200ml,2.00,81.37,23.0000,52429,
108194,1,1,Beverages,Head Office Beverages,N/A Wine Bottle,Torres Natureo Moscatel Spain 75cl,18.00,64.1,23.0000,52512,
108282,2,1,Beverages,Head Office Beverages,Package Bistro Menu Drinks,Cosmopolitan,5.50,42,23.0000,52696,
108292,2,1,Beverages,Head Office Beverages,Package Group Drinks,Americano Coffee,0.00,0,23.0000,52517,
108286,2,1,Beverages,Head Office Beverages,Package Group Drinks,BT Coca Cola 200ml,5.00,85,23.0000,52366,
108287,2,1,Beverages,Head Office Beverages,Package Group Drinks,BT Coke Zero 200ml,5.00,86,23.0000,52371,
108288,2,1,Beverages,Head Office Beverages,Package Group Drinks,BT Diet Coke 200ml,5.00,86,23.0000,52367,
108289,2,1,Beverages,Head Office Beverages,Package Group Drinks,BT Fanta Lemon 200ml,5.00,88,23.0000,52370,
108290,2,1,Beverages,Head Office Beverages,Package Group Drinks,BT Fanta Orange 200ml,5.00,88,23.0000,52369,
108291,2,1,Beverages,Head Office Beverages,Package Group Drinks,BT Sprite Zero 200ml,5.00,87,23.0000,52365,
108283,2,1,Beverages,Head Office Beverages,Package Group Drinks,L/N Coors Light 330ml,5.00,71.77,23.0000,52348,
108285,2,1,Beverages,Head Office Beverages,Package Group Drinks,L/N Heineken 0.0 330ml,5.00,75.2,23.0000,52351,
108284,2,1,Beverages,Head Office Beverages,Package Group Drinks,L/N Heineken 355ml,5.00,66.7,23.0000,52346,
108294,3,4.2,Beverages,Head Office Beverages,Package Group Drinks,Montanas Y Mar Cabernet Sauvignon Chile 75cl,5.00,60.17,23.0000,52494,
108295,3,4.2,Beverages,Head Office Beverages,Package Group Drinks,Montanas Y Mar Sauvignon Blanc Chile 75cl,5.00,60.05,23.0000,52498,
108293,2,1,Beverages,Head Office Beverages,Package Group Drinks,Tea Cup,0.00,0,23.0000,52515,
108176,1,1,Beverages,Head Office Beverages,Red Wine Bottle,Aires Andinos Malbec Argentina 75cl,33.00,73.13,23.0000,52506,
108171,1,1,Beverages,Head Office Beverages,Red Wine Bottle,Copperfield Pinotage South Africa 75cl,31.00,74.3,23.0000,52478,
108175,1,1,Beverages,Head Office Beverages,Red Wine Bottle,Monologo Rioja Crianza Spain 75cl,33.00,66.38,23.0000,52505,
108173,1,1,Beverages,Head Office Beverages,Red Wine Bottle,Montanas Y Mar Cabernet Sauvignon Chile 75cl,29.90,72,23.0000,52494,
108172,1,1,Beverages,Head Office Beverages,Red Wine Bottle,Montgravet Merlot France 75cl,29.90,69.1,23.0000,52480,
108174,1,1,Beverages,Head Office Beverages,Red Wine Bottle,Solandia Nero D'avola Italy 75cl,29.00,70.04,23.0000,52502,
108178,2,4.2,Beverages,Head Office Beverages,Red Wine Glass,Montanas Y Mar Cabernet Sauvignon Chile 75cl,8.00,75.1,23.0000,52494,
108177,2,4.2,Beverages,Head Office Beverages,Red Wine Glass,Montgravet Merlot France 75cl,8.00,72.5,23.0000,52480,
108179,2,4.2,Beverages,Head Office Beverages,Red Wine Glass,Solandia Nero D'avola Italy 75cl,7.50,72.4,23.0000,52502,
108251,1,1,Beverages,Head Office Beverages,Rum,Bacardi,5.50,79.56,23.0000,52716,
108252,1,1,Beverages,Head Office Beverages,Rum,Captain Morgan Spiced,5.50,81,23.0000,52717,
108253,2,1,Beverages,Head Office Beverages,Rum,Malibu,5.50,82.8,23.0000,52708,
108279,1,1,Beverages,Head Office Beverages,Shots,Baby Guinness,6.00,76.2,23.0000,52726,
108280,1,1,Beverages,Head Office Beverages,Shots,Jagermeister,6.00,79.5,23.0000,52707,
108278,1,1,Beverages,Head Office Beverages,Shots,Tequila,6.00,77.42,23.0000,52713,
108243,1,1,Beverages,Head Office Beverages,Vodka,Huzzar Vodka,5.40,75,23.0000,52108,
108244,1,1,Beverages,Head Office Beverages,Vodka,Smirnoff Vodka,5.40,81.7,23.0000,52703,
108267,1,1,Beverages,Head Office Beverages,Whiskey - American,Canadian Club,5.60,71.5,23.0000,52746,
108264,1,1,Beverages,Head Office Beverages,Whiskey - American,Jack Daniels,5.80,72,23.0000,52714,
108266,1,1,Beverages,Head Office Beverages,Whiskey - American,Jim Beam,5.80,74.8,23.0000,52745,
108265,1,1,Beverages,Head Office Beverages,Whiskey - American,Southern Comfort,5.50,75.5,23.0000,52715,
108258,1,1,Beverages,Head Office Beverages,Whiskey - Irish,Bushmills 10 Years Old Single Malt,9.00,76.94,23.0000,52721,
108259,1,1,Beverages,Head Office Beverages,Whiskey - Irish,Bushmills Black Bush,5.80,73.2,23.0000,52735,
108257,1,1,Beverages,Head Office Beverages,Whiskey - Irish,Bushmills Original,5.50,76.96,23.0000,52705,
108255,1,1,Beverages,Head Office Beverages,Whiskey - Irish,Jameson,5.40,73.5,23.0000,52699,
108260,1,1,Beverages,Head Office Beverages,Whiskey - Irish,Jameson 18 Years Old Single Malt ,18.00,45.3,23.0000,52738,
108261,1,1,Beverages,Head Office Beverages,Whiskey - Irish,Midleton Very Rare,20.00,49.7,23.0000,52741,
108262,1,1,Beverages,Head Office Beverages,Whiskey - Irish,Paddys,5.40,76.5,23.0000,52744,
108256,1,1,Beverages,Head Office Beverages,Whiskey - Irish,Powers,5.40,75,23.0000,52700,
108254,1,1,Beverages,Head Office Beverages,Whiskey - Irish,Redbreast 12 Years Old Single Malt,10.00,67.6,23.0000,52698,
108263,1,1,Beverages,Head Office Beverages,Whisky - Scotch,Black & White,5.40,77.79,23.0000,52704,
108181,1,1,Beverages,Head Office Beverages,White Wine Bottle,Borsari Pinot Grigio Garganega Italy 75cl,29.90,73.66,23.0000,52476,
108185,1,1,Beverages,Head Office Beverages,White Wine Bottle,Copperfield Chenin Blanc South Africa 75cl,28.00,72.3,23.0000,52507,
108182,1,1,Beverages,Head Office Beverages,White Wine Bottle,Lopez de Haro Rosado Spain 75cl,32.00,66.88,23.0000,52483,
108183,1,1,Beverages,Head Office Beverages,White Wine Bottle,Marlborough Sun Sauvignon Blanc 75cl,43.00,67.86,23.0000,52491,
108184,1,1,Beverages,Head Office Beverages,White Wine Bottle,Montanas Y Mar Sauvignon Blanc Chile 75cl,29.90,71.94,23.0000,52498,
108186,1,1,Beverages,Head Office Beverages,White Wine Bottle,Solandia Grillo Italy 75cl,28.00,69.4,23.0000,52508,
108180,1,1,Beverages,Head Office Beverages,White Wine Bottle,Tocornal Chardonnay Chile 75cl,29.00,72.34,23.0000,52475,
108188,2,4.2,Beverages,Head Office Beverages,White Wine Glass,Borsari Pinot Grigio Garganega Italy 75cl,8.00,76.56,23.0000,52476,
108189,2,4.2,Beverages,Head Office Beverages,White Wine Glass,Montanas Y Mar Sauvignon Blanc Chile 75cl,8.00,75.03,23.0000,52498,
108187,2,4.2,Beverages,Head Office Beverages,White Wine Glass,Tocornal Chardonnay Chile 75cl,7.50,74.53,23.0000,52475,
110196,1,1,Beverages,Kilcohan Park Waterford,Bottled Beer,Can WCC Original 250ml,5.90,66.1,23.0000,52362,
110197,1,1,Beverages,Kilcohan Park Waterford,Bottled Beer,Can WCC Rose 250ml,5.90,66.1,23.0000,52364,
110190,1,1,Beverages,Kilcohan Park Waterford,Bottled Beer,L/N Coors Light 330ml,5.80,75.6,23.0000,52348,
110192,1,1,Beverages,Kilcohan Park Waterford,Bottled Beer,L/N Heineken 0.0 330ml,5.10,75.7,23.0000,52351,
110189,1,1,Beverages,Kilcohan Park Waterford,Bottled Beer,L/N Heineken 355ml,5.80,71,23.0000,52346,
110194,1,1,Beverages,Kilcohan Park Waterford,Bottled Beer,L/N Smirnoff Ice 275ml,5.90,73,23.0000,52360,
110191,1,1,Beverages,Kilcohan Park Waterford,Bottled Beer,L/N Sol 330ml,5.80,73,23.0000,52349,
110195,1,1,Beverages,Kilcohan Park Waterford,Bottled Beer,L/N WKD Blue 275ml,5.90,75,23.0000,52361,
110193,1,1,Beverages,Kilcohan Park Waterford,Bottled Beer,PT BTL Orchard Thieves 568ml,6.50,55.9,23.0000,52356,
110288,1,1,Beverages,Kilcohan Park Waterford,Brandy,Hennessy,5.80,65.8,23.0000,52697,
110218,1,1,Beverages,Kilcohan Park Waterford,Champagne/Sparkling Bottle,Dogarina Prosecco Italy 75cl,32.00,67,23.0000,52488,
110217,1,1,Beverages,Kilcohan Park Waterford,Champagne/Sparkling Bottle,Lanson Black Label Brut France 75cl,90.00,45.83,23.0000,52486,
110220,1,1,Beverages,Kilcohan Park Waterford,Champagne/Sparkling Bottle,Lanson Rose Label France 75cl,110.00,43.16,23.0000,52511,
110219,1,1,Beverages,Kilcohan Park Waterford,Champagne/Sparkling Bottle,Segura Viudas Brut Reserva Cava Spain 75cl,40.00,59.18,23.0000,52510,
110222,1,1,Beverages,Kilcohan Park Waterford,Cocktails,Cosmopolitan,11.00,70,23.0000,52696,
110186,1,1,Beverages,Kilcohan Park Waterford,Draught Beer,GL Beamish Stout,2.90,64.3,23.0000,53315,
110181,1,1,Beverages,Kilcohan Park Waterford,Draught Beer,GL Coors Light,3.20,59.5,23.0000,52340,
110179,1,1,Beverages,Kilcohan Park Waterford,Draught Beer,GL Guinness,3.00,59,23.0000,52335,
110180,1,1,Beverages,Kilcohan Park Waterford,Draught Beer,GL Heineken,3.20,59.5,23.0000,52338,
110182,1,1,Beverages,Kilcohan Park Waterford,Draught Beer,GL Moretti,3.50,56.7,23.0000,52342,
110184,1,1,Beverages,Kilcohan Park Waterford,Draught Beer,GL Murphys Red Ale,3.00,57.8,23.0000,52344,
110185,1,1,Beverages,Kilcohan Park Waterford,Draught Beer,GL Murphys Stout,3.00,58.8,23.0000,53314,
