EPOS ID, EPOS CODE, YIELD, GROUPING, MENU, COURSE, DISH, SELLING PRICE, TARGET GP, TAX, DISH ID
109735,1,1,Beverages,Curraheen Park Cork,Draught Beer,PT Moretti,6.90,56.1,23.0000,52333,
109733,1,1,Beverages,Curraheen Park Cork,Draught Beer,PT Murphys Red Ale,5.40,53.1,23.0000,52329,
109882,1,1,Beverages,Curraheen Park Cork,Draught Beer,PT Murphys Stout,5.40,54.3,23.0000,53317,
109736,1,1,Beverages,Curraheen Park Cork,Draught Beer,PT Orchards Thieves,6.20,56.5,23.0000,52334,
109834,1,1,Beverages,Curraheen Park Cork,Gin,Cork Dry Gin,5.20,79.9,23.0000,52701,
109835,1,1,Beverages,Curraheen Park Cork,Gin,Gordons Original Gin,5.50,79,23.0000,52702,
109887,1,1,Beverages,Curraheen Park Cork,Gin,Gordons Rose Gin,5.50,77,23.0000,53289,
109855,1,1,Beverages,Curraheen Park Cork,Hot Beverages,Americano Coffee,3.20,88.16,23.0000,52517,
109860,1,1,Beverages,Curraheen Park Cork,Hot Beverages,Americano Coffee - Takeaway,2.80,78.45,23.0000,52524,
109857,1,1,Beverages,Curraheen Park Cork,Hot Beverages,Cappuccino Coffee,3.70,82.17,23.0000,52520,
109861,1,1,Beverages,Curraheen Park Cork,Hot Beverages,Cappuccino Coffee - Takeaway,2.90,69.52,23.0000,52525,
109858,1,1,Beverages,Curraheen Park Cork,Hot Beverages,Espresso Coffee,2.60,80.94,23.0000,52521,
109862,1,1,Beverages,Curraheen Park Cork,Hot Beverages,Espresso Coffee - Takeaway,2.60,72.31,23.0000,52526,
109865,1,1,Beverages,Curraheen Park Cork,Hot Beverages,Hot Chocolate,2.80,74.8,23.0000,52529,
109866,1,1,Beverages,Curraheen Park Cork,Hot Beverages,Hot Chocolate - Takeaway,2.80,66.8,23.0000,52530,
109856,1,1,Beverages,Curraheen Park Cork,Hot Beverages,Latte Coffee,3.70,83.56,23.0000,52518,
109863,1,1,Beverages,Curraheen Park Cork,Hot Beverages,Latte Coffee - Takeaway,2.90,71.29,23.0000,52527,
109864,1,1,Beverages,Curraheen Park Cork,Hot Beverages,Tea - Takeaway,2.30,79.59,23.0000,52528,
109854,1,1,Beverages,Curraheen Park Cork,Hot Beverages,Tea Cup,2.30,89.3,23.0000,52515,
109859,1,1,Beverages,Curraheen Park Cork,Hot Beverages,Tea Pot,2.30,77.99,23.0000,52523,
109877,1,1,Beverages,Curraheen Park Cork,Liqueurs,Baileys Irish Cream,5.70,80,23.0000,52720,
109844,1,1,Beverages,Curraheen Park Cork,Liqueurs,Jagermeister,5.70,78,23.0000,52707,
109875,1,1,Beverages,Curraheen Park Cork,Liqueurs,Sambuca,5.20,75,23.0000,52712,
109878,1,1,Beverages,Curraheen Park Cork,Liqueurs,Tia Maria,5.00,79,23.0000,52730,
109869,1,1,Beverages,Curraheen Park Cork,Liqueurs Coffee,Baileys Coffee,6.50,78.7,23.0000,52727,
109870,1,1,Beverages,Curraheen Park Cork,Liqueurs Coffee,French Coffee,6.50,62.2,23.0000,52728,
109867,1,1,Beverages,Curraheen Park Cork,Liqueurs Coffee,Hot Irish Whiskey,5.50,67.1,23.0000,52724,
109871,1,1,Beverages,Curraheen Park Cork,Liqueurs Coffee,Hot Port,5.50,79.6,23.0000,52750,
109868,1,1,Beverages,Curraheen Park Cork,Liqueurs Coffee,Irish Coffee,6.50,68.7,23.0000,52725,
109789,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,BT Cidona 440ml,3.50,69.5,23.0000,52373,
109784,3,1,Beverages,Curraheen Park Cork,Minerals & Splits,BT Coca Cola 200ml,3.00,75.4,23.0000,52366,
109806,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,BT Coca Cola 500ml,3.00,58.57,23.0000,52394,
109788,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,BT Coke Zero 200ml,2.90,76,23.0000,52371,
109804,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,BT Coke Zero 500ml,3.00,62,23.0000,52391,
109785,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,BT Diet Coke 200ml,2.90,76,23.0000,52367,
109827,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,BT Diet Coke 500ml,3.00,62.09,23.0000,52436,
109828,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,BT Elderflower Tonic Water 200ml,3.50,80.29,23.0000,52437,
109787,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,BT Fanta Lemon 200ml,3.00,80,23.0000,52370,
109821,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,BT Fanta Lemon 500ml,3.00,64.69,23.0000,52425,
109786,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,BT Fanta Orange 200ml,3.00,80,23.0000,52369,
109820,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,BT Fanta Orange 500ml,3.00,67.11,23.0000,52424,
109800,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,BT Ginger Ale 125ml,2.20,75.5,23.0000,52385,
109790,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,BT Lucozade,3.50,73.67,23.0000,52374,
109791,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,BT Orange Juice 200ml,3.00,74.38,23.0000,52375,
109798,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,BT Slimline Tonic 125ml,2.20,75.5,23.0000,52383,
109801,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,BT Soda Water 125ml,2.20,75.5,23.0000,52387,
109794,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,BT Sparkling Water 330ml,3.00,81.2,23.0000,52378,
109803,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,BT Sparkling Water 500ml,3.00,89,23.0000,52389,
