Date Created,31/01/2024 09:38:25
Unit,Best Group Prices



Dish Title,Menu Grouping,Menu,Course,EPoS Code,Missing Price,Actual Cost,Target Cost,Cost Variance,Theoretical Gross Profit,Target Gross Profit,Gross Profit Variance,Actual Selling Price,Target Selling Price,Selling Price Variance,Actual Cash Profit,Target Cash Profit,Cash Profit Variance
"Fillet of Hake LMK","Food","Limerick","Bistro Menu","Main Course",0,5.24,4.94,-0.30,68.2%,70.0%,-1.8%,17.95,19.04,-1.09,11.23,11.53,-0.30,
"Supreme of Chicken LMK","Food","Limerick","Bistro Menu","Mains Course",0,3.83,4.12,0.29,76.7%,75.0%,1.7%,17.95,16.70,1.25,12.64,12.35,0.29,
"Tortellini Filled With Spinach LMK","Food","Limerick","Bistro Menu","Mains Course",1,2.09,4.12,2.03,87.3%,75.0%,12.3%,17.95,9.11,8.84,14.38,12.35,2.03,
"Soup Portion LMK","Food","Limerick","Bistro Menu","Starter",0,0.65,0.89,0.24,89.1%,85.0%,4.1%,6.50,4.72,1.78,5.31,5.07,0.24,
"Chicken & Mushroom Vol au Vent LMK","Food","Limerick","Bistro Menu","Starter",0,1.90,1.79,-0.11,68.1%,70.0%,-1.9%,6.50,6.90,-0.40,4.06,4.17,-0.11,
"Smoked Salmon Tartlet LMK","Food","Limerick","Bistro Menu","Starter",1,1.48,2.19,0.71,79.7%,70.0%,9.7%,7.95,5.38,2.57,5.81,5.11,0.71,
"Caeser Salad LMK","Food","Limerick","Bistro Menu","Starter",2,0.84,1.09,0.25,88.5%,85.0%,3.5%,7.95,6.10,1.85,6.45,6.20,0.25,
"Selection of Glenown Ice Creams LMK","Food","Limerick","2 Course Menu €35","Dessert",1,0.65,1.09,0.44,88.1%,80.0%,8.1%,5.95,3.54,2.41,4.81,4.37,0.44,
"Fillet of Hake LMK","Food","Limerick","2 Course Menu €35","Main Course",0,5.24,4.94,-0.30,68.2%,70.0%,-1.8%,17.95,19.04,-1.09,11.23,11.53,-0.30,
"Supreme of Chicken LMK","Food","Limerick","2 Course Menu €35","Mains Course",0,3.83,4.12,0.29,76.7%,75.0%,1.7%,17.95,16.70,1.25,12.64,12.35,0.29,
"Tortellini Filled With Spinach LMK","Food","Limerick","2 Course Menu €35","Mains Course",1,2.09,4.12,2.03,87.3%,75.0%,12.3%,17.95,9.11,8.84,14.38,12.35,2.03,
"Soup Portion LMK","Food","Limerick","2 Course Menu €35","Starter",0,0.65,0.89,0.24,89.1%,85.0%,4.1%,6.50,4.72,1.78,5.31,5.07,0.24,
"Chicken & Mushroom Vol au Vent LMK","Food","Limerick","2 Course Menu €35","Starter",0,1.90,1.79,-0.11,68.1%,70.0%,-1.9%,6.50,6.90,-0.40,4.06,4.17,-0.11,
"Smoked Salmon Tartlet LMK","Food","Limerick","2 Course Menu €35","Starter",1,1.48,2.19,0.71,79.7%,70.0%,9.7%,7.95,5.38,2.57,5.81,5.11,0.71,
"Caeser Salad LMK","Food","Limerick","2 Course Menu €35","Starter",2,0.84,1.09,0.25,88.5%,85.0%,3.5%,7.95,6.10,1.85,6.45,6.20,0.25,
"Selection of Glenown Ice Creams LMK","Food","Limerick","3 Course Menu €40","Dessert",1,0.65,1.09,0.44,88.1%,80.0%,8.1%,5.95,3.54,2.41,4.81,4.37,0.44,
"Fillet of Hake LMK","Food","Limerick","3 Course Menu €40","Main Course",0,5.24,4.94,-0.30,68.2%,70.0%,-1.8%,17.95,19.04,-1.09,11.23,11.53,-0.30,
"Supreme of Chicken LMK","Food","Limerick","3 Course Menu €40","Mains Course",0,3.83,4.12,0.29,76.7%,75.0%,1.7%,17.95,16.70,1.25,12.64,12.35,0.29,
"Tortellini Filled With Spinach LMK","Food","Limerick","3 Course Menu €40","Mains Course",1,2.09,4.12,2.03,87.3%,75.0%,12.3%,17.95,9.11,8.84,14.38,12.35,2.03,
"Soup Portion LMK","Food","Limerick","3 Course Menu €40","Starter",0,0.65,0.89,0.24,89.1%,85.0%,4.1%,6.50,4.72,1.78,5.31,5.07,0.24,
"Chicken & Mushroom Vol au Vent LMK","Food","Limerick","3 Course Menu €40","Starter",0,1.90,1.79,-0.11,68.1%,70.0%,-1.9%,6.50,6.90,-0.40,4.06,4.17,-0.11,
"Smoked Salmon Tartlet LMK","Food","Limerick","3 Course Menu €40","Starter",1,1.48,2.19,0.71,79.7%,70.0%,9.7%,7.95,5.38,2.57,5.81,5.11,0.71,
"Caeser Salad LMK","Food","Limerick","3 Course Menu €40","Starter",2,0.84,1.09,0.25,88.5%,85.0%,3.5%,7.95,6.10,1.85,6.45,6.20,0.25,
"Apple & Rhubarb Crumble GWY","Food","Galway","Bistro Menu","Dessert",0,1.35,2.06,0.71,80.4%,70.0%,10.4%,7.50,4.90,2.60,5.53,4.82,0.71,
"Sticky Toffee Pudding GWY","Food","Galway","Bistro Menu","Dessert",0,1.19,2.06,0.87,82.7%,70.0%,12.7%,7.50,4.32,3.18,5.69,4.82,0.87,
"Summer Berry Cheesecake GWY","Food","Galway","Bistro Menu","Dessert",2,1.17,2.06,0.89,83.0%,70.0%,13.0%,7.50,4.25,3.25,5.71,4.82,0.89,
"Slow Braised Blade of Angus Beef GWY","Food","Galway","Bistro Menu","Main Course",0,4.17,4.59,0.42,77.3%,75.0%,2.3%,20.00,18.18,1.82,14.18,13.76,0.42,
"Oven Baked Fillet of Atlantic Cod GWY","Food","Galway","Bistro Menu","Main Course",0,4.87,4.59,-0.28,73.5%,75.0%,-1.5%,20.00,21.23,-1.23,13.48,13.76,-0.28,
"Pan Fried Supreme of Clonakilty Chicken GWY","Food","Galway","Bistro Menu","Main Course",0,2.82,4.59,1.77,84.6%,75.0%,9.6%,20.00,12.30,7.70,15.53,13.76,1.77,
"Slow Cooked Confit Barbary Duck Leg GWY ","Food","Galway","Bistro Menu","Main Course",0,6.43,6.42,-0.01,65.0%,65.0%,0.0%,20.00,20.02,-0.02,11.92,11.93,-0.01,
"Pan Fried Potato Gnocchi GWY","Food","Galway","Bistro Menu","Main Course",1,2.47,4.59,2.12,86.5%,75.0%,11.5%,20.00,10.77,9.23,15.88,13.76,2.12,
"Carrot & Ginger Soup w/ Wholemeal Scone GWY","Food","Galway","Bistro Menu","Starter",0,0.63,2.06,1.43,90.8%,70.0%,20.8%,7.50,2.29,5.21,6.25,4.82,1.43,
"Oriental Chicken Springroll GWY","Food","Galway","Bistro Menu","Starter",4,1.70,2.06,0.36,75.3%,70.0%,5.3%,7.50,6.18,1.32,5.18,4.82,0.36,
